r_freq,r_signal,r_location,r_schools,r_format
KKJZ,88.1 FM,"Long Beach, CA",California State University - Long Beach,Jazz
KCSN,88.5 FM,"Northridge, CA",California State University - Northridge,Adult Album Alternative
KSPC,88.7 FM,"Claremont, CA",Pomona College,Alternative
KXLU,88.9 FM,"Los Angeles, CA",Loyola Marymount University,College
KPCC,89.3 FM,"Pasadena, CA",Pasadena City College,Public Radio
KCRW,89.9 FM,"Santa Monica, CA",Santa Monica Community College,Public Radio
K212FA (KYLA),90.3 FM,"Temple City, CA",,Christian Contemporary
KMRO,90.3 FM,"Camarillo, CA",,Spanish Christian
KPFK,90.7 FM,"Los Angeles, CA",,Public Radio
K216EM (KKLQ),91.1 FM,"Arcadia, CA",,Christian Contemporary
KDSC,91.1 FM,"Thousand Oaks, CA",University of Southern California,Classical
KUSC,91.5 FM,"Los Angeles, CA",University of Southern California,Classical
K220FR (KYRA),91.9 FM,"Thousand Oaks, CA",,Christian Contemporary
K220HC (KKLQ),91.9 FM,"Studio City, CA",,Christian Contemporary
KVCR,91.9 FM,"San Bernardino, CA",San Bernardino Community College,Public Radio
KRRL,92.3 FM,"Los Angeles, CA",,Hip Hop
KYRA,92.7 FM,"Thousand Oaks, CA",,Christian Contemporary
KCBS,93.1 FM,"Los Angeles, CA",,Adult Hits
KDAY,93.5 FM,"Redondo Beach, CA",,Hip Hop
KLLI,93.9 FM,"Los Angeles, CA",,Spanish Hits
KBUA,94.3 FM,"San Fernando, CA",,Regional Mexican
KEBN,94.3 FM,"Garden Grove, CA",,Regional Mexican
KTWV,94.7 FM,"Los Angeles, CA",,Urban Contemporary
KFRG,95.1 FM,"San Bernardino, CA",,Country
KLOS,95.5 FM,"Los Angeles, CA",,Classic Rock
KCAQ (CP),95.9 FM,"Camarillo, CA",,Hip Hop
KFSH,95.9 FM,"La Mirada, CA",,Christian Contemporary
KXOL,96.3 FM,"Los Angeles, CA",,Spanish Hits
KGAP (LPFM),96.7 FM,"Los Angeles, CA",,Variety
KLJR,96.7 FM,"Santa Paula, CA",,Spanish Hits
