Track name, Artist name, Album, Playlist name, Type, ISRC
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,Top Hits of 2015,Playlist track,GBARL1401524
Thinking out Loud,Ed Sheeran,x (Deluxe Edition),Top Hits of 2015,Playlist track,GBAHS1400099
See You Again (feat. Charlie Puth),Wiz Khalifa,See You Again (feat. Charlie Puth),Top Hits of 2015,Playlist track,USAT21703595
What Do You Mean?,Justin Bieber,Purpose (Deluxe),Top Hits of 2015,Playlist track,USUM71511919
Lean On (feat. MØ & DJ Snake),Major Lazer,Peace Is The Mission : Extended,Top Hits of 2015,Playlist track,QMUY41500008
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]",Top Hits of 2015,Playlist track,USUG11401951
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,Delirium (Deluxe),Top Hits of 2015,Playlist track,GBUM71406823
Trap Queen,Fetty Wap,Fetty Wap (Deluxe),Top Hits of 2015,Playlist track,QM7XC1400004
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,All My Friends (feat. Tinashe & Chance the Rapper),Top Hits of 2015,Playlist track,GBARL1501370
Do It Again,Pia Mia,Do It Again,Top Hits of 2015,Playlist track,USUM71505606
Blank Space,Taylor Swift,1989 (Deluxe),Top Hits of 2015,Playlist track,USCJY1431309
Electric Love,BØRNS,Electric Love,Top Hits of 2015,Playlist track,USUM71416307
The Hills,The Weeknd,Beauty Behind The Madness,Top Hits of 2015,Playlist track,USUG11500737
The Less I Know The Better,Tame Impala,Currents,Top Hits of 2015,Playlist track,AUUM71500303
Sugar,Maroon 5,V,Top Hits of 2015,Playlist track,USUM71410340
Sunset Lover,Petit Biscuit,Sunset Lover,Top Hits of 2015,Playlist track,FRX451599796
Talking Body,Tove Lo,Queen Of The Clouds,Top Hits of 2015,Playlist track,SEUM71401533
Omen - Radio Edit,Disclosure,Omen (Radio Edit),Top Hits of 2015,Playlist track,GBUM71504534
Love Me Harder,Ariana Grande,My Everything (Deluxe),Top Hits of 2015,Playlist track,USUM71409728
oui,Jeremih,Late Nights: The Album,Top Hits of 2015,Playlist track,USUM71513397
Outside (feat. Ellie Goulding),Calvin Harris,Motion,Top Hits of 2015,Playlist track,GBARL1401201
Don't,Bryson Tiller,T R A P S O U L,Top Hits of 2015,Playlist track,USRC11501051
7/11,Beyoncé,BEYONCÉ [Platinum Edition],Top Hits of 2015,Playlist track,USSM11408532
Love Myself,Hailee Steinfeld,HAIZ,Top Hits of 2015,Playlist track,USUM71510716
Style,Taylor Swift,1989 (Deluxe),Top Hits of 2015,Playlist track,USCJY1431319
Good For You,Selena Gomez,Good For You,Top Hits of 2015,Playlist track,USUM71508454
Cool for the Summer,Demi Lovato,Cool for the Summer,Top Hits of 2015,Playlist track,USHR11536621
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,Top Hits of 2015,Playlist track,QM5FT1500006
Na Na,Trey Songz,Trigga Reloaded,Top Hits of 2015,Playlist track,USAT21304769
Wildest Dreams,Taylor Swift,1989,Top Hits of 2015,Playlist track,USCJY1431379
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,Top Hits of 2015,Playlist track,GBARL1500704
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,Dreams Worth More Than Money,Top Hits of 2015,Playlist track,USAT21501575
You Know You Like It,DJ Snake,You Know You Like It,Top Hits of 2015,Playlist track,USUM71414293
Here,Alessia Cara,Four Pink Walls,Top Hits of 2015,Playlist track,USUM71506251
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,Sex Playlist,Top Hits of 2015,Playlist track,USAT21404845
Hands To Myself,Selena Gomez,Revival (Deluxe),Top Hits of 2015,Playlist track,USUM71513592
Slow Motion,Trey Songz,Slow Motion,Top Hits of 2015,Playlist track,USAT21405436
YOUTH,Troye Sivan,YOUTH,Top Hits of 2015,Playlist track,AUUM71501373
Bad Blood,Taylor Swift,Bad Blood,Top Hits of 2015,Playlist track,USCJY1531564
Lush Life,Zara Larsson,Lush Life,Top Hits of 2015,Playlist track,SEWEE1500509
The Heart Wants What It Wants,Selena Gomez,The Heart Wants What It Wants,Top Hits of 2015,Playlist track,USHR11435979
Five More Hours - Deorro x Chris Brown,Deorro,Five More Hours (Deorro x Chris Brown),Top Hits of 2015,Playlist track,USUS11203275
King,Years & Years,Communion,Top Hits of 2015,Playlist track,GBUM71406892
One Last Time,Ariana Grande,My Everything (Deluxe),Top Hits of 2015,Playlist track,USUM71409723
Runaway (U & I),Galantis,Pharmacy,Top Hits of 2015,Playlist track,USAT21404265
Never Forget You,Zara Larsson,So Good,Top Hits of 2015,Playlist track,SEWEE1500801
Somebody,Natalie La Rose,Somebody,Top Hits of 2015,Playlist track,USUM71417961
Where Are Ü Now (with Justin Bieber),Jack Ü,Skrillex and Diplo present Jack Ü,Top Hits of 2015,Playlist track,USAT21500555
I Want You To Know,Zedd,I Want You To Know,Top Hits of 2015,Playlist track,USUM71502344
Confident,Demi Lovato,Confident (Deluxe Edition),Top Hits of 2015,Playlist track,USHR11536743
Time of Our Lives,Pitbull,Globalization,Top Hits of 2015,Playlist track,USRC11402647
I Don't Mind (feat. Juicy J),Usher,I Don't Mind (feat. Juicy J),Top Hits of 2015,Playlist track,USRC11402425
In The Night,The Weeknd,Beauty Behind The Madness,Top Hits of 2015,Playlist track,USUG11500951
Intoxicated - New Radio Mix,Martin Solveig,Intoxicated,Top Hits of 2015,Playlist track,UK98Q1500003
Shine,Years & Years,Communion (Deluxe),Top Hits of 2015,Playlist track,GBUM71501271
Real Love,Clean Bandit,Real Love,Top Hits of 2015,Playlist track,GBAHS1400368
Same Old Love,Selena Gomez,Revival (Deluxe),Top Hits of 2015,Playlist track,USUM71510437
Black Magic,Little Mix,Get Weird (Deluxe),Top Hits of 2015,Playlist track,GBHMU1500046
Ayo,Chris Brown,Fan of A Fan The Album (Expanded Edition),Top Hits of 2015,Playlist track,USRC11403042
On My Mind,Ellie Goulding,Delirium (Deluxe),Top Hits of 2015,Playlist track,GBUM71505456
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),Felix Jaehn,I,Top Hits of 2015,Playlist track,DEUM71500425
679 (feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),Top Hits of 2015,Playlist track,QMCE31500250
Kill Em With Kindness,Selena Gomez,Revival (Deluxe),Top Hits of 2015,Playlist track,USUM71513588
You Don't Own Me (feat. G-Eazy),SAYGRACE,You Don't Own Me (feat. G-Eazy),Top Hits of 2015,Playlist track,USRC11500344
Antidote,Travis Scott,Rodeo (Expanded Edition),Top Hits of 2015,Playlist track,USSM11505661
Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,Peace Is the Mission (Extended Edition),Top Hits of 2015,Playlist track,QMUY41500182
Wish You Were Mine - Radio Edit,Philip George,Wish You Were Mine,Top Hits of 2015,Playlist track,GBSXS1400238
Can't Feel My Face,The Weeknd,Beauty Behind The Madness,Top Hits of 2015,Playlist track,USUG11500741
I Don't Fuck With You,Big Sean,Dark Sky Paradise,Top Hits of 2015,Playlist track,USUM71414033
Lay Me Down,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),Top Hits of 2015,Playlist track,GBUM71308839
Heroes (we could be),Alesso,Forever,Top Hits of 2015,Playlist track,USUM71411636
Hurt Me (2015),Låpsley,Hurt Me,Top Hits of 2015,Playlist track,GBBKS1500174
Easy Love,Sigala,Brighter Days,Top Hits of 2015,Playlist track,GBCEN1500481
King Kunta,Kendrick Lamar,To Pimp A Butterfly,Top Hits of 2015,Playlist track,USUM71502494
Hotline Bling,Drake,Views,Top Hits of 2015,Playlist track,USCM51500238
Rather Be (feat. Jess Glynne),Clean Bandit,Rather Be (feat. Jess Glynne),Top Hits of 2015,Playlist track,GBAHS1300498
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,Listen,Top Hits of 2015,Playlist track,GB28K1400058
No Type,Rae Sremmurd,SremmLife,Top Hits of 2015,Playlist track,USUM71413477
I Really Like You,Carly Rae Jepsen,Emotion (Deluxe),Top Hits of 2015,Playlist track,USUM71501431
Classic Man (feat. Roman GianArthur),Jidenna,Classic Man (feat. Roman GianArthur),Top Hits of 2015,Playlist track,USSM11500430
Drag Me Down,One Direction,Made In The A.M. (Deluxe Edition),Top Hits of 2015,Playlist track,GBHMU1500070
Worth It (feat. Kid Ink),Fifth Harmony,Reflection (Deluxe),Top Hits of 2015,Playlist track,USSM11406644
FourFiveSeconds,Rihanna,FourFiveSeconds,Top Hits of 2015,Playlist track,USJMT1500001
Sugar (feat. Francesco Yates),Robin Schulz,Sugar,Top Hits of 2015,Playlist track,DEA621501057
Firestone,Kygo,Cloud Nine,Top Hits of 2015,Playlist track,SEBGA1400887
Perfect,One Direction,Made In The A.M. (Deluxe Edition),Top Hits of 2015,Playlist track,GBHMU1500104
Do You Remember,Jarryd James,Jarryd James EP,Top Hits of 2015,Playlist track,USUM71504917
Like I Can,Sam Smith,In The Lonely Hour,Top Hits of 2015,Playlist track,GBUM71308834
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,My House,Top Hits of 2015,Playlist track,USAT21500395
Try Me (feat. Jennifer Lopez and Matoma),Jason Derulo,Everything Is 4,Top Hits of 2015,Playlist track,USWB11504532
Stole the Show,Kygo,Cloud Nine,Top Hits of 2015,Playlist track,SEBGA1500071
"Flex (Ooh, Ooh, Ooh)",Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",Top Hits of 2015,Playlist track,USUYG1062224
