Track name, Artist name, Album, Playlist name, Type, ISRC,
God's Plan,Drake,Scorpion,Top Hits of 2018,Playlist track,USCM51800004,
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,Top Hits of 2018,Playlist track,USUM71710087,
Perfect,Ed Sheeran,÷ (Deluxe),Top Hits of 2018,Playlist track,GBAHS1700024,
God is a woman,Ariana Grande,Sweetener,Top Hits of 2018,Playlist track,USUM71808574,
Havana (feat. Young Thug),Camila Cabello,Camila,Top Hits of 2018,Playlist track,USSM11706905,
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,Top Hits of 2018,Playlist track,USUG11800685,
The Middle,Zedd,The Middle,Top Hits of 2018,Playlist track,USUM71800463,
FRIENDS,Marshmello,FRIENDS,Top Hits of 2018,Playlist track,GBAHS1800025,
I Like It,Cardi B,Invasion of Privacy,Top Hits of 2018,Playlist track,USAT21801431,
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,Top Hits of 2018,Playlist track,USUM71713947,
no tears left to cry,Ariana Grande,Sweetener,Top Hits of 2018,Playlist track,USUM71805289,
Trip,Ella Mai,Ella Mai,Top Hits of 2018,Playlist track,USUM71810720,
One Kiss (with Dua Lipa),Calvin Harris,One Kiss (with Dua Lipa),Top Hits of 2018,Playlist track,GBARL1800368,
Body (feat. brando),Loud Luxury,Body (feat. brando),Top Hits of 2018,Playlist track,NLF711710457,
Call Out My Name,The Weeknd,"My Dear Melancholy,",Top Hits of 2018,Playlist track,USUG11800560,
Be Careful,Cardi B,Invasion of Privacy,Top Hits of 2018,Playlist track,USAT21801270,
Bad Vibe,M.O,Bad Vibe,Top Hits of 2018,Playlist track,GBUM71706433,
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,Top Hits of 2018,Playlist track,USUM71703088,
Boo'd Up,Ella Mai,READY,Top Hits of 2018,Playlist track,USUM71700987,
Love Lies (with Normani),Khalid,Love Lies (with Normani),Top Hits of 2018,Playlist track,USRC11703646,
Taste (feat. Offset),Tyga,Taste (feat. Offset),Top Hits of 2018,Playlist track,USUYG1198481,
Nice For What,Drake,Scorpion,Top Hits of 2018,Playlist track,USCM51800077,
17,MK,17,Top Hits of 2018,Playlist track,GBARL1701492,
Eastside (with Halsey & Khalid),benny blanco,Eastside (with Halsey & Khalid),Top Hits of 2018,Playlist track,USUM71809132,
I Like Me Better,Lauv,I met you when I was 18. (the playlist),Top Hits of 2018,Playlist track,GBWWP1702907,
IDGAF,Dua Lipa,Dua Lipa (Deluxe),Top Hits of 2018,Playlist track,GBAHT1600301,
SICKO MODE,Travis Scott,ASTROWORLD,Top Hits of 2018,Playlist track,USSM11806660,
No Brainer,DJ Khaled,No Brainer,Top Hits of 2018,Playlist track,USSM11806283,
lovely (with Khalid),Billie Eilish,lovely (with Khalid),Top Hits of 2018,Playlist track,USUM71804190,
Nonstop,Drake,Scorpion,Top Hits of 2018,Playlist track,USCM51800191,
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,STAY DANGEROUS,Top Hits of 2018,Playlist track,USUM71807398,
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Top Hits of 2018,Playlist track,USUM71709685,
MotorSport,Migos,Culture II,Top Hits of 2018,Playlist track,USUM71712002,
