nine_ts_title,nine_ts_artist,nine_album,nine_ts_playlist,nine_ts_type,nine_ISRC,nine_ts_year,nine_ts_genre
Old Town Road - Remix,Lil Nas X,7 EP,Top Hits of 2019,Playlist track,USSM11902498,,
bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Top Hits of 2019,Playlist track,USUM71900764,,
Señorita,Shawn Mendes,Shawn Mendes (Deluxe),Top Hits of 2019,Playlist track,USUM71911283,,
7 rings,Ariana Grande,"thank u, next",Top Hits of 2019,Playlist track,USUM71900110,,
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,Top Hits of 2019,Playlist track,USUM71814888,,
Juicy,Doja Cat,Juicy,Top Hits of 2019,Playlist track,USRC11901510,,
Without Me,Halsey,Without Me,Top Hits of 2019,Playlist track,USUM71813499,,
Motivation,Normani,Motivation,Top Hits of 2019,Playlist track,USRC11901655,,
Shallow,Lady Gaga,A Star Is Born Soundtrack,Top Hits of 2019,Playlist track,USUM71813192,,
boyfriend (with Social House),Ariana Grande,boyfriend,Top Hits of 2019,Playlist track,USUG11902591,,
Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Top Hits of 2019,Playlist track,DEUM71807062,,
Nights Like This (feat. Ty Dolla $ign),Kehlani,While We Wait,Top Hits of 2019,Playlist track,USAT21813049,,
Slide Away,Miley Cyrus,Slide Away,Top Hits of 2019,Playlist track,USRC11902256,,
Don't Start Now,Dua Lipa,Don't Start Now,Top Hits of 2019,Playlist track,GBAHT1901121,,
On A Roll,Ashley O,On A Roll,Top Hits of 2019,Playlist track,USRC11901909,,
Doin' Time,Lana Del Rey,Norman Fucking Rockwell!,Top Hits of 2019,Playlist track,GBUM71903894,,
How Do You Sleep?,Sam Smith,How Do You Sleep?,Top Hits of 2019,Playlist track,GBUM71902381,,
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Top Hits of 2019,Playlist track,QMCE31902405,,
My Type,Saweetie,ICY,Top Hits of 2019,Playlist track,USWB11900833,,
"break up with your girlfriend, i'm bored",Ariana Grande,"thank u, next",Top Hits of 2019,Playlist track,USUM71900409,,
Location (feat. Burna Boy),Dave,PSYCHODRAMA,Top Hits of 2019,Playlist track,GBUM71900578,,
All Day And Night,Jax Jones,All Day And Night (Jax Jones & Martin Solveig Present Europa),Top Hits of 2019,Playlist track,GBUM71900522,,
Ride It,Regard,Ride It,Top Hits of 2019,Playlist track,GBCEN1900047,,
Mad Love,Mabel,High Expectations,Top Hits of 2019,Playlist track,GBUM71902039,,
